SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1466.00,1480.00,1431.00,1439.40,1438.40,1453.55,1000,7344,10651070.00,
500003,AEGIS LOGIS ,A ,Q,298.00,311.80,287.20,290.00,290.00,300.40,2070,53398,15961664.00,
500008,AMAR RAJA BA,A ,Q,842.00,858.05,842.00,854.80,852.00,841.45,2439,36270,30806987.00,
500009,A.SARABHAI  ,X ,Q,17.80,18.20,17.20,17.40,17.40,17.55,131,34279,606373.00,
500010,HDFC        ,A ,Q,2566.00,2617.75,2554.85,2604.60,2608.00,2531.90,5526,86399,223877846.00,
500012,ANDHRA PETRO,X ,Q,57.30,61.95,57.30,59.30,59.30,59.80,580,166782,10031996.00,
500013,ANSAL INFRAS,B ,Q,6.25,6.54,5.99,6.01,6.01,6.30,77,68545,416523.00,
500014,UTIQUE      ,X ,Q,1.83,1.92,1.75,1.75,1.75,1.83,13,4392,7996.00,
500016,ARUNAHTEL   ,XT,Q,4.90,4.91,4.90,4.90,4.90,4.90,5,1321,6473.00,
500020,BOM DYEING  ,A ,Q,71.30,72.75,71.00,71.30,71.30,71.05,1557,314993,22648873.00,
500023,ASIANHOTNR  ,B ,Q,56.10,63.40,56.10,58.10,58.10,60.50,47,1232,74749.00,
500027,ATUL LTD.   ,A ,Q,7056.90,7070.00,6996.40,7047.15,7060.00,7005.00,683,17974,125855284.00,
500028,ATV PROJECTS,XT,Q,3.96,4.17,3.80,3.96,3.96,3.98,26,13291,52489.00,
500031,BAJAJ ELECT.,A ,Q,979.00,996.00,965.20,992.40,995.50,950.15,818,7967,7840056.00,
500032,BAJAJHIND   ,A ,Q,6.43,6.43,5.20,6.19,6.19,6.23,1199,1294761,8030360.00,
500033,FORCE MOTR  ,A ,Q,1192.00,1205.00,1168.80,1172.05,1169.60,1185.05,356,2722,3218202.00,
500034,BAJFINANCE  ,A ,Q,5220.00,5259.40,5150.00,5192.70,5192.70,5183.10,10236,83347,433870770.00,
500038,BALRAM.CHINI,A ,Q,212.70,214.35,204.20,205.70,205.90,212.55,2629,138829,28870093.00,
500039,BANCO PROD. ,B ,Q,142.75,144.50,141.00,141.30,141.25,142.60,462,21153,3015780.00,
500040,CENTURY TEXT,A ,Q,473.10,473.10,454.80,459.50,458.00,467.50,1567,76557,35498170.00,
500041,BANNARI AMAN,A ,Q,1575.00,1575.00,1515.60,1515.60,1515.60,1523.05,13,29,44737.00,
500042,BASF INDIA  ,A ,Q,2022.00,2040.00,1985.55,2030.40,2031.40,2007.40,276,1262,2541351.00,
500043,BATA INDIA  ,A ,Q,1422.00,1431.00,1397.05,1404.35,1406.00,1412.20,3275,26388,37263975.00,
500048,BEML LTD    ,A ,Q,1282.05,1305.55,1266.00,1275.10,1275.10,1275.65,1187,39989,51600675.00,
500049,BHARAT ELECT,A ,Q,123.50,126.75,122.95,125.50,125.50,122.45,5575,655018,81571925.00,
500052,BHANSALI ENG,A ,Q,140.95,142.25,139.10,139.50,139.50,140.95,880,92007,12898452.00,
500055,TATASTLBSL  ,B ,Q,49.50,51.70,49.50,51.10,51.10,48.70,3965,1269688,64856147.00,
500058,BIHAR SPONGE,XT,Q,2.09,2.09,2.09,2.09,2.09,2.05,16,16125,33701.00,
500060,BIRLACABLE  ,B ,Q,62.00,62.00,59.85,60.20,60.60,59.70,201,12494,754782.00,
500067,BLUE STAR   ,A ,Q,909.00,920.70,898.90,914.10,908.60,895.90,1567,14494,13196394.00,
500068,DISA INDIA  ,X ,Q,4576.00,4779.90,4576.00,4658.10,4650.00,4624.10,20,85,393140.00,
500069,BNK CAPITAL ,X ,Q,132.95,144.00,112.10,139.05,141.00,125.05,143,17291,2360637.00,
500074,BPL LTD.    ,B ,Q,21.80,22.85,21.80,22.35,22.35,21.85,165,19042,425306.00,
500078,OAL         ,B ,Q,549.30,592.00,549.30,576.20,591.90,561.10,306,2494,1446561.00,
500083,CENTURY EXT ,B ,Q,4.28,4.28,3.87,4.07,4.08,3.90,73,16398,65829.00,
500084,CESC LTD.   ,A ,Q,604.10,612.00,594.50,596.15,594.50,604.10,1867,65064,39194304.00,
500085,CHAMBAL FERT,A ,Q,226.85,229.40,221.30,225.20,225.00,227.40,1342,68921,15514820.00,
500086,EXIDE IND.  ,A ,Q,182.60,186.75,182.60,186.15,186.15,182.35,1640,109545,20311036.00,
500087,CIPLA LTD.  ,A ,Q,788.00,815.60,788.00,812.45,812.45,787.85,7125,234787,189538015.00,
500089,DIC INDIA   ,B ,Q,398.85,398.85,390.00,391.20,390.00,393.70,43,1776,700251.00,
500092,CRISIL LTD  ,A ,Q,1883.00,1904.00,1873.00,1888.05,1893.50,1884.00,366,1499,2822524.00,
500093,CGPOWER     ,B ,Q,68.10,69.35,64.60,66.30,66.30,67.95,2340,566254,37725660.00,
500096,DABUR (I)   ,A ,Q,531.00,541.00,531.00,538.00,538.00,529.50,2518,90837,48868114.00,
500097,DALMIASUG   ,A ,Q,181.80,189.00,178.75,179.95,183.05,180.95,542,25983,4784038.00,
500101,ARVIND Ltd  ,A ,Q,66.95,67.85,65.15,66.15,66.15,66.05,695,129083,8610947.00,
500102,BALARPUR IND,Z ,Q,1.11,1.17,1.07,1.09,1.09,1.12,566,1519756,1661977.00,
500103,BHEL        ,A ,Q,49.30,49.60,48.35,48.95,48.95,48.70,5067,5706400,280411454.00,
500104,HIND.PETRO  ,A ,Q,229.80,231.90,228.80,230.00,230.00,229.80,994,78569,18103373.00,
500106,IFCI LTD    ,A ,Q,12.70,13.02,12.18,12.24,12.24,12.75,41123,805326,9991725.00,
500108,MAHA.TELE   ,B ,Q,20.45,20.45,19.13,19.22,19.22,19.74,1609,641858,12638819.00,
500109,MRPL        ,A ,Q,39.35,39.45,38.80,39.20,39.20,38.80,612,106069,4148723.00,
500110,CHENNAI PET.,A ,Q,95.10,98.50,95.10,96.50,97.55,95.50,687,48834,4754679.00,
500111,REL.CAP.    ,B ,Q,11.50,11.50,10.64,10.76,10.76,11.01,3924,214061,2339678.00,
500112,STATE BANK  ,A ,Q,360.65,364.20,356.35,361.10,361.10,357.10,13785,1544258,556938953.00,
500113,STEEL AUTH. ,A ,Q,78.70,80.90,78.25,79.15,79.15,76.70,11210,4389807,350297693.00,
500114,TITAN       ,A ,Q,1510.00,1562.30,1510.00,1552.75,1551.00,1506.10,13387,220874,342643156.00,
500116,IDBI BANK L ,A ,Q,38.60,40.00,37.30,38.65,38.65,38.10,3333,1447228,56128308.00,
500117,DCW LTD.    ,B ,Q,27.00,27.45,25.95,26.05,26.25,26.60,270,93278,2503460.00,
500119,DHAMPUR SUGA,A ,Q,185.00,188.00,184.50,185.55,185.55,184.50,542,28162,5236980.00,
500120,DIAMINES&CHM,X ,Q,263.95,270.00,254.00,257.50,257.50,263.95,512,16716,4314872.00,
500123,ELANTAS     ,A ,Q,3295.00,3359.95,3287.00,3299.05,3300.00,3293.00,45,119,392812.00,
500124,DR.REDDY'S  ,A ,Q,4422.00,4525.00,4422.00,4518.45,4518.45,4405.30,4222,40736,183420097.00,
500125,E.I.D.PAR   ,A ,Q,331.30,331.35,321.45,324.15,323.95,323.90,332,6966,2261486.00,
500126,PGHL        ,A ,Q,6180.00,6350.00,6168.00,6270.60,6210.00,6179.20,264,632,3950326.00,
500128,ELEC.CASTING,B ,Q,24.00,25.35,24.00,24.85,24.85,23.65,451,63511,1581224.00,
500133,ESAB INDIA  ,A ,Q,1809.00,1830.00,1783.40,1805.90,1792.45,1816.10,174,635,1147161.00,
500135,EPL         ,A ,Q,226.00,231.90,224.40,231.00,231.50,222.40,1051,70777,16173998.00,
500136,ESTER INDUS.,B ,Q,118.00,121.00,117.00,118.55,117.60,117.50,727,40133,4772644.00,
500144,FINOL. CABLE,A ,Q,384.85,391.25,381.35,389.45,388.00,384.85,546,8060,3122180.00,
500147,COCKERILL   ,X ,Q,812.10,849.90,801.10,842.95,849.90,811.10,47,761,633483.00,
500148,UFLEX LTD   ,A ,Q,380.00,384.65,368.40,374.45,375.00,377.15,576,10570,3963349.00,
500150,FOSECO INDIA,B ,Q,1151.90,1160.95,1134.00,1139.80,1139.80,1140.00,36,105,120484.00,
500151,GOLDEN TOB  ,B ,Q,40.50,41.15,39.50,39.80,39.75,40.50,57,1089,43836.00,
500153,GANESH BENZO,X ,Q,62.15,65.90,62.15,63.50,63.15,62.65,172,19070,1215239.00,
500159,METROGLOBL  ,X ,Q,58.95,58.95,54.00,55.00,54.95,54.05,28,2230,125920.00,
500160,GTL LTD.    ,B ,Q,5.65,5.97,5.41,5.46,5.49,5.69,3351,141939,810889.00,
500163,GODFREY PH  ,A ,Q,894.00,898.50,881.25,894.90,898.50,886.95,647,7466,6639811.00,
500164,GODREJ IND  ,A ,Q,530.15,549.25,530.15,546.20,546.20,531.10,2158,41835,22699886.00,
500165,KANSAI NERO ,A ,Q,573.50,594.00,571.30,591.55,587.00,567.65,646,9413,5490817.00,
500166,GOODRICKE   ,X ,Q,213.80,213.80,206.00,208.75,208.75,208.00,157,7689,1605690.00,
500168,GOODYEAR (I),A ,Q,916.90,916.90,888.00,888.75,888.00,893.60,275,1490,1333781.00,
500170,GTN INDUS   ,X ,Q,11.99,11.99,11.20,11.90,11.90,11.75,16,1924,22045.00,
500171,GHCL LTD    ,A ,Q,218.20,228.25,218.20,225.70,226.00,217.95,327,9311,2084272.00,
500173,GFLLIMITED  ,T ,Q,86.75,86.75,86.75,86.75,86.75,91.30,39,2304,199872.00,
500179,HCL INFOSYS ,B ,Q,9.10,9.10,8.63,8.79,8.75,8.71,168,147167,1292918.00,
500180,HDFC BANK   ,A ,Q,1504.25,1561.45,1495.20,1553.55,1553.55,1492.20,26717,583033,892999319.00,
500182,HEROMOTOCO  ,A ,Q,2932.05,2975.00,2916.90,2963.65,2963.65,2938.95,4544,43834,129258968.00,
500183,HFCL        ,A ,Q,25.95,25.95,25.45,25.50,25.50,25.50,719,293154,7535996.00,
500184,HSCL        ,A ,Q,42.30,42.40,41.55,41.70,41.70,41.50,2579,453152,18965735.00,
500185,HIND.CONSTN.,A ,Q,7.32,7.77,7.32,7.69,7.69,7.40,614,1029325,7894082.00,
500186,HIND.OIL EXP,A ,Q,100.00,101.45,96.60,99.25,99.25,98.15,1065,215728,21155969.00,
500187,HSIL        ,B ,Q,160.85,162.10,155.00,157.10,155.00,160.60,918,33833,5364346.00,
500188,HINDUS.ZI   ,A ,Q,283.35,283.35,257.00,262.40,262.40,277.75,3319,77935,20963373.00,
500189,NXTDIGITAL  ,B ,Q,472.60,487.90,443.00,467.55,468.50,452.35,148,615,290421.00,
500191,HMT LTD.    ,Z ,Q,32.50,32.50,30.95,31.10,32.45,32.55,74,5739,179323.00,
500192,PRAG BOSIMI ,XT,Q,1.60,1.62,1.50,1.60,1.62,1.55,16,7312,11640.00,
500193,HLVLTD      ,B ,Q,6.10,6.10,5.80,5.86,5.96,6.03,84,27969,166757.00,
500199,I.G.PETRO   ,B ,Q,437.95,437.95,414.95,421.60,421.65,420.25,328,3757,1584805.00,
500201,IND.GLYCOLS ,A ,Q,448.00,449.60,428.45,430.10,430.10,439.05,1102,26823,11781633.00,
500202,IND.LEAS.DEV,X ,Q,11.00,11.00,10.80,10.80,10.80,10.48,2,101,1091.00,
500206,MARGO FIN   ,X ,Q,8.75,8.75,8.75,8.75,8.75,8.80,1,100,875.00,
500207,INDO RAMA   ,B ,Q,37.70,37.70,36.50,37.50,37.50,37.20,15,1386,51929.00,
500209,INFOSYS LTD ,A ,Q,1340.00,1399.85,1336.00,1385.55,1385.55,1336.30,22299,526058,723361822.00,
500210,INGERSOLL   ,A ,Q,681.65,790.00,681.35,689.40,689.40,669.60,373,1767,1220114.00,
500211,INSILCO LTD.,X ,Q,6.36,7.00,6.36,6.80,6.75,6.59,87,23748,155853.00,
500212,INTEG.FIN.SE,XT,Q,28.70,28.70,28.70,28.70,28.70,30.15,1,1,28.00,
500213,INTER.TRAVEL,X ,Q,59.80,59.80,57.00,58.60,58.80,57.50,27,2731,156834.00,
500214,ION EXCHANGE,A ,Q,1340.00,1346.55,1294.50,1298.90,1298.90,1331.85,919,30974,40712794.00,
500215,AGRO TECH FO,A ,Q,792.45,840.45,766.95,825.95,840.40,780.85,442,736,581835.00,
500219,JAIN IRRIG  ,A ,Q,19.05,19.70,18.50,18.60,18.60,18.80,721,224769,4279393.00,
500220,JASCH INDUST,X ,Q,61.00,62.00,58.00,58.35,58.20,59.95,64,9963,604569.00,
500223,JCT LTD     ,X ,Q,1.10,1.10,1.08,1.09,1.09,1.05,831,5912534,6486151.00,
500227,JINDAL POLYF,A ,Q,763.00,779.75,735.05,750.50,760.50,749.30,689,17267,13285265.00,
500228,JSWSL       ,A ,Q,455.00,470.00,450.10,467.55,467.55,444.95,7231,569789,264649485.00,
500231,UMANG DAIR  ,B ,Q,58.60,59.15,57.30,57.55,57.95,58.25,99,2809,164077.00,
500233,KAJARIA CER.,A ,Q,902.00,946.00,901.00,935.40,939.55,901.05,1437,14753,13700783.00,
500234,KAKATIYA CEM,B ,Q,166.75,169.50,161.05,164.60,161.05,166.90,317,10009,1677294.00,
500235,KALYANI STEL,A ,Q,315.00,322.10,310.80,312.45,313.00,308.75,423,10480,3311493.00,
500236,KANELIND    ,XT,Q,1.16,1.16,1.16,1.16,1.16,1.18,5,2353,2729.00,
500238,WHIRLPOOL   ,A ,Q,2198.00,2248.00,2189.00,2207.20,2219.30,2173.90,861,3105,6862900.00,
500239,KG DENIM    ,X ,Q,27.90,29.90,27.90,29.00,28.90,29.00,38,4870,140667.00,
500240,KINETIC ENG.,XT,Q,40.50,42.50,38.60,40.75,41.40,40.55,48,7942,317469.00,
500241,KIRL.BROS.  ,B ,Q,222.00,242.50,215.25,236.60,236.60,221.45,2013,44980,10500373.00,
500243,KIRL INDUS  ,B ,Q,1241.00,1292.00,1235.00,1235.20,1235.20,1254.80,54,3426,4267862.00,
500245,KIRL.FERROUS,B ,Q,162.85,166.90,161.25,164.25,163.05,160.75,539,34824,5682376.00,
500247,KOTAK MAH.BK,A ,Q,1775.00,1801.20,1775.00,1780.80,1780.80,1772.65,8459,116893,208829155.00,
500249,KSB         ,A ,Q,888.00,909.35,888.00,895.20,898.80,885.45,646,4070,3656969.00,
